url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Genre_1,decade
http://www.billboard.com/charts/hot-100/2013-03-02,3/2/2013,36,Somebody That I Used To Know,Gotye Featuring Kimbra,Somebody That I Used To KnowGotye Featuring Kimbra,1,42,1,59,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2014-12-06,12/6/2014,43,All Of Me,John Legend,All Of MeJohn Legend,3,36,1,59,R&B/Soul,2010-2018
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,45,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,41,2,58,Blue-eyed soul,2010-2018
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,45,Thinking Out Loud,Ed Sheeran,Thinking Out LoudEd Sheeran,1,41,2,58,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-03-03,3/3/2018,24,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,1,24,1,58,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2010-03-13,3/13/2010,44,Use Somebody,Kings Of Leon,Use SomebodyKings Of Leon,2,44,4,57,Rock,2010-2018
http://www.billboard.com/charts/hot-100/2013-02-02,2/2/2013,50,Lights,Ellie Goulding,LightsEllie Goulding,2,49,2,57,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2014-11-01,11/1/2014,49,Dark Horse,Katy Perry Featuring Juicy J,Dark HorseKaty Perry Featuring Juicy J,1,43,1,57,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2010-07-17,7/17/2010,49,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,49,1,56,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2013-03-30,3/30/2013,49,Some Nights,fun.,Some Nightsfun.,1,39,3,56,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2013-03-30,3/30/2013,49,Some Nights,fun.,Some Nightsfun.,1,39,3,56,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,22,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,2,,22,56,Funk,2010-2018
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,22,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,2,,22,56,Contemporary R&B,2010-2018
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,22,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk!Mark Ronson Featuring Bruno Mars,2,,22,56,Boogie,2010-2018
https://www.billboard.com/charts/hot-100/2018-10-06,10/6/2018,21,Perfect,Ed Sheeran,PerfectEd Sheeran,2,23,1,56,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2013-10-26,10/26/2013,50,Cruise,Florida Georgia Line,CruiseFlorida Georgia Line Featuring Nelly,2,48,4,54,Country,2010-2018
http://www.billboard.com/charts/hot-100/2013-10-26,10/26/2013,50,Cruise,Florida Georgia Line,CruiseFlorida Georgia Line Featuring Nelly,2,48,4,54,CountryPop,2010-2018
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,50,Stay With Me,Sam Smith,Stay With MeSam Smith,2,49,2,54,Soul music,2010-2018
http://www.billboard.com/charts/hot-100/2015-05-02,5/2/2015,50,Stay With Me,Sam Smith,Stay With MeSam Smith,2,49,2,54,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-05-05,5/5/2018,34,Wake Me Up,Avicii,Wake Me Up!Avicii,2,,34,54,Country music,2010-2018
https://www.billboard.com/charts/hot-100/2018-05-05,5/5/2018,34,Wake Me Up,Avicii,Wake Me Up!Avicii,2,,34,54,Dance/Electronic,2010-2018
http://www.billboard.com/charts/hot-100/2011-12-10,12/10/2011,43,If I Die Young,The Band Perry,If I Die YoungThe Band Perry,2,41,14,53,Country music,2010-2018
http://www.billboard.com/charts/hot-100/2011-12-10,12/10/2011,43,If I Die Young,The Band Perry,If I Die YoungThe Band Perry,2,41,14,53,Country,2010-2018
http://www.billboard.com/charts/hot-100/2014-08-30,8/30/2014,46,Pompeii,Bastille,PompeiiBastille,1,44,5,53,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,39,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,38,4,53,New Wave/Post-Punk,2010-2018
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,39,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,38,4,53,Alternative/Indie,2010-2018
http://www.billboard.com/charts/hot-100/2016-01-30,1/30/2016,39,Trap Queen,Fetty Wap,Trap QueenFetty Wap,1,35,2,52,Hip-Hop/Rap,2010-2018
http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,49,See You Again,Wiz Khalifa Featuring Charlie Puth,See You AgainWiz Khalifa Featuring Charlie Puth,1,45,1,52,Hip-Hop/Rap,2010-2018
http://www.billboard.com/charts/hot-100/2016-06-04,6/4/2016,41,Stitches,Shawn Mendes,StitchesShawn Mendes,1,34,4,52,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2016-10-01,10/1/2016,38,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,37,2,52,Rock,2010-2018
http://www.billboard.com/charts/hot-100/2016-10-01,10/1/2016,38,Stressed Out,twenty one pilots,Stressed Outtwenty one pilots,3,37,2,52,Hip-Hop/Rap,2010-2018
http://www.billboard.com/charts/hot-100/2017-02-25,2/25/2017,32,Cheap Thrills,Sia,Cheap ThrillsSia Featuring Sean Paul,1,30,1,52,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2017-02-25,2/25/2017,44,Don't Let Me Down,The Chainsmokers,Don't Let Me DownThe Chainsmokers Featuring Daya,2,36,3,52,Trap music,2010-2018
http://www.billboard.com/charts/hot-100/2017-02-25,2/25/2017,44,Don't Let Me Down,The Chainsmokers,Don't Let Me DownThe Chainsmokers Featuring Daya,2,36,3,52,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2017-02-25,2/25/2017,44,Don't Let Me Down,The Chainsmokers,Don't Let Me DownThe Chainsmokers Featuring Daya,2,36,3,52,Dance/Electronic,2010-2018
http://www.billboard.com/charts/hot-100/2017-05-20,5/20/2017,39,Can't Stop The Feeling!,Justin Timberlake,Can't Stop The Feeling!Justin Timberlake,1,38,1,52,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2017-08-12,8/12/2017,39,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey,1,36,1,52,Dance/Electronic,2010-2018
http://www.billboard.com/charts/hot-100/2017-08-12,8/12/2017,39,Closer,The Chainsmokers Featuring Halsey,CloserThe Chainsmokers Featuring Halsey,1,36,1,52,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2017-11-04,11/4/2017,46,Say You Won't Let Go,James Arthur,Say You Won't Let GoJames Arthur,1,42,11,52,Pop music,2010-2018
https://www.billboard.com/charts/hot-100/2017-11-04,11/4/2017,46,Say You Won't Let Go,James Arthur,Say You Won't Let GoJames Arthur,1,42,11,52,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2016-02-27,2/27/2016,47,Watch Me,Silento,Watch MeSilento,1,38,3,51,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25,1,51,Reggaeton,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25,1,51,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,DespacitoLuis Fonsi & Daddy Yankee Featuring Justin Bieber,1,25,1,51,LatinPop,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,38,That's What I Like,Bruno Mars,That's What I LikeBruno Mars,2,32,1,51,Contemporary R&B,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,38,That's What I Like,Bruno Mars,That's What I LikeBruno Mars,2,32,1,51,New jack swing,2010-2018
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,38,That's What I Like,Bruno Mars,That's What I LikeBruno Mars,2,32,1,51,Hip hop soul,2010-2018
https://www.billboard.com/charts/hot-100/2018-02-10,2/10/2018,29,Believer,Imagine Dragons,BelieverImagine Dragons,1,28,4,51,Pop rock,2010-2018
https://www.billboard.com/charts/hot-100/2018-02-10,2/10/2018,29,Believer,Imagine Dragons,BelieverImagine Dragons,1,28,4,51,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-05-05,5/5/2018,45,Thunder,Imagine Dragons,ThunderImagine Dragons,1,34,4,51,Synth-pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-10-27,10/27/2018,31,Meant To Be,Bebe Rexha,Meant To BeBebe Rexha & Florida Georgia Line,1,34,2,51,Pop,2010-2018
https://www.billboard.com/charts/hot-100/2018-10-27,10/27/2018,31,Meant To Be,Bebe Rexha,Meant To BeBebe Rexha & Florida Georgia Line,1,34,2,51,Contemporary R&B,2010-2018
https://www.billboard.com/charts/hot-100/2018-10-27,10/27/2018,31,Meant To Be,Bebe Rexha,Meant To BeBebe Rexha & Florida Georgia Line,1,34,2,51,CountryPop,2010-2018
http://www.billboard.com/charts/hot-100/2010-04-17,4/17/2010,50,You Belong With Me,Taylor Swift,You Belong With MeTaylor Swift,2,45,2,50,CountryPop,2010-2018
http://www.billboard.com/charts/hot-100/2010-04-17,4/17/2010,50,You Belong With Me,Taylor Swift,You Belong With MeTaylor Swift,2,45,2,50,Pop,2010-2018
http://www.billboard.com/charts/hot-100/2013-02-16,2/16/2013,48,Call Me Maybe,Carly Rae Jepsen,Call Me MaybeCarly Rae Jepsen,1,43,1,50,TeenPop,2010-2018
http://www.billboard.com/charts/hot-100/2013-02-16,2/16/2013,48,Call Me Maybe,Carly Rae Jepsen,Call Me MaybeCarly Rae Jepsen,1,43,1,50,Pop,2010-2018
